section,paragraph_id,sentence_id,claim_summary,citation_key_or_paper_id,verified_source,evidence_scope,warning,notes
2.1,P1,S1,"Forecasting demand that is zero in most periods has been approached, since Croston's original treatment, by declining to model the demand series directly and instead trac",Cro72,literature_boundary_verified/core_reference_list.md,"Croston (1972) JORS 23(3) 289-303; size/interval separation, ratio rate",LIT-W1: published in Operational Research Quarterly; indexed under JORS,
2.1,P1,S2,"That method smooths the positive sizes and the inter-demand intervals only in periods with demand, and forms a demand rate as the ratio of the two [Cro72].",Cro72,literature_boundary_verified/core_reference_list.md,"Croston (1972) JORS 23(3) 289-303; size/interval separation, ratio rate",LIT-W1: published in Operational Research Quarterly; indexed under JORS,
2.1,P1,S4,"The ratio introduces an inversion bias, and the Syntetos–Boylan approximation supplies the correction factor that renders the estimator approximately unbiased [SB05].",SB05,literature_boundary_verified/core_reference_list.md,Syntetos & Boylan (2005) IJF 21(2) 303-314; SBA (1-alpha/2) bias correction,,
2.1,P1,S5,"A second refinement replaces interval updating with the direct updating of an occurrence probability in every period, including periods without demand, which allows the f",TSB11,literature_boundary_verified/core_reference_list.md,"Teunter, Syntetos & Babai (2011) EJOR 214(3) 606-615; occurrence-probability updating every period; obsolescence",,
2.1,P2,S4,The probability-updating variant [TSB11] is the closest classical ancestor of that product form.,TSB11,literature_boundary_verified/core_reference_list.md,"Teunter, Syntetos & Babai (2011) EJOR 214(3) 606-615; occurrence-probability updating every period; obsolescence",,
2.2,P1,S3,"Regions of the plane these two define are used to separate smooth, erratic, intermittent and lumpy demand and to select between Croston's method and its bias-corrected va",SBC05,literature_boundary_verified/core_reference_list.md,"Syntetos, Boylan & Croston (2005) JORS 56(5) 495-503; ADI/CV^2 categorization, 3000 automotive series",,
2.2,P1,S4,The placement of one of those boundaries was subsequently refined on analytical grounds [KH06].,KH06,literature_boundary_verified/core_reference_list.md,Kostenko & Hyndman (2006) JORS 57(10) 1256-1257; boundary refinement,,
2.3,P2,S2,"Rather than treating occurrences as independent draws, the lead-time demand distribution can be bootstrapped from a two-state Markov model over zero and non-zero periods,",WSS04,literature_boundary_verified/core_reference_list.md,"Willemain, Smart & Schwarz (2004) IJF 20(3) 375-387; two-state Markov occurrence + jittered bootstrap; nine industrial datasets",,
2.3,P3,S2,"Working with generated intermittent demand, Altay, Litteral and Rudisill examine three distinct correlation structures — autocorrelation in demand sizes, autocorrelation ",ALR12,literature_boundary_verified/core_reference_list.md,"Altay, Litteral & Rudisill (2012) IJPE 135(1) 275-283; size AC, interval AC, size-interval cross-corr varied in generated demand; forecast + inventory outcomes; ABSTRACT/RECORD LEVEL ONLY",LIT-W3 OPEN: full text unobtained; no statement about what it holds constant,
2.4,P1,S1,"Machine-learning and neural methods for intermittent demand now form a substantial literature of their own, recently surveyed in [GDTP25].",GDTP25,literature_boundary_verified/core_reference_list.md,Giannopoulos et al. (2025) IJPR online 31 Oct 2025; ML review,LIT-W2: volume/pages unassigned (online first),
2.4,P1,S2,"Within it, whether the forecast should be produced as one quantity or as two combined has been asked directly, and in more than one form [Kou13; NAR26].",Kou13,literature_boundary_verified/core_reference_list.md,"Kourentzes (2013) IJPE 143(1) 198-206; FULL TEXT; NN-Rate single output vs NN-Dual size+interval combined as ratio, de-biased; per-arm best (I,H)","LIT-W-KOU13: ratio form, never 'hurdle', never 'the same two representations'",
2.4,P1,S2,"Within it, whether the forecast should be produced as one quantity or as two combined has been asked directly, and in more than one form [Kou13; NAR26].",NAR26,literature_boundary_verified/core_reference_list.md,"Nathan et al. (2026) Sci Rep 16:4792; FULL TEXT (PMC12873174); LightGBM direct vs classifier x Tweedie regressor product; identical preprocessing, feature construction, evaluation protocols",LIT-W-NAR26: NOT neural; capacity/training/tuning match NOT STATED (U),
2.4,P2,S1,"In the neural setting, Kourentzes compares two architectures that differ precisely in this respect [Kou13].",Kou13,literature_boundary_verified/core_reference_list.md,"Kourentzes (2013) IJPE 143(1) 198-206; FULL TEXT; NN-Rate single output vs NN-Dual size+interval combined as ratio, de-biased; per-arm best (I,H)","LIT-W-KOU13: ratio form, never 'hurdle', never 'the same two representations'",
2.4,P2,S3,"The other takes the same inputs and emits two quantities, the non-zero demand size and the inter-demand interval, which are combined as a ratio in the manner of Croston's",Kou13,literature_boundary_verified/core_reference_list.md,"Kourentzes (2013) IJPE 143(1) 198-206; FULL TEXT; NN-Rate single output vs NN-Dual size+interval combined as ratio, de-biased; per-arm best (I,H)","LIT-W-KOU13: ratio form, never 'hurdle', never 'the same two representations'",
2.4,P2,S5,"It reports that the two formulations rank differently under accuracy metrics than under inventory metrics, and favours the directly predicted rate once service levels are",Kou13,literature_boundary_verified/core_reference_list.md,"Kourentzes (2013) IJPE 143(1) 198-206; FULL TEXT; NN-Rate single output vs NN-Dual size+interval combined as ratio, de-biased; per-arm best (I,H)","LIT-W-KOU13: ratio form, never 'hurdle', never 'the same two representations'",
2.4,P3,S1,The other pairing — a directly predicted conditional mean against an occurrence probability multiplied by a conditional size — has been compared in a gradient-boosting ra,NAR26,literature_boundary_verified/core_reference_list.md,"Nathan et al. (2026) Sci Rep 16:4792; FULL TEXT (PMC12873174); LightGBM direct vs classifier x Tweedie regressor product; identical preprocessing, feature construction, evaluation protocols",LIT-W-NAR26: NOT neural; capacity/training/tuning match NOT STATED (U),
2.4,P3,S2,"On roughly 1.4 million monthly observations of automotive spare parts, a LightGBM regressor trained directly on the full feature set is placed against a two-stage model i",NAR26,literature_boundary_verified/core_reference_list.md,"Nathan et al. (2026) Sci Rep 16:4792; FULL TEXT (PMC12873174); LightGBM direct vs classifier x Tweedie regressor product; identical preprocessing, feature construction, evaluation protocols",LIT-W-NAR26: NOT neural; capacity/training/tuning match NOT STATED (U),
2.4,P3,S3,That study [NAR26] reports that the added architectural complexity of the two-stage form does not translate into an aggregate advantage over the single-stage model once i,NAR26,literature_boundary_verified/core_reference_list.md,"Nathan et al. (2026) Sci Rep 16:4792; FULL TEXT (PMC12873174); LightGBM direct vs classifier x Tweedie regressor product; identical preprocessing, feature construction, evaluation protocols",LIT-W-NAR26: NOT neural; capacity/training/tuning match NOT STATED (U),
2.4,P3,S4,"Occurrence and size have also been modelled jointly rather than comparatively, by casting intermittent demand as a deep renewal process that captures regular and alternat",TJWC21,literature_boundary_verified/core_reference_list.md,"Turkmen, Januschowski, Wang & Cemgil (2021) PLOS ONE 16(11) e0259764; deep renewal processes; illustrative synthetic patterns",,
2.4,P4,S1,"Both comparisons therefore already exist: a directly predicted rate against a Croston-style ratio in a neural setting [Kou13], and a directly predicted conditional mean a",Kou13,literature_boundary_verified/core_reference_list.md,"Kourentzes (2013) IJPE 143(1) 198-206; FULL TEXT; NN-Rate single output vs NN-Dual size+interval combined as ratio, de-biased; per-arm best (I,H)","LIT-W-KOU13: ratio form, never 'hurdle', never 'the same two representations'",
